Key,en,es,ar
Write Here,Write Here,Escribe aquí,اكتب هنا
User,User,Usuario,مستخدم
Last Reply,Last Reply,Última respuesta,الرد الأخير
Send Money Form,Send Money Form,Formulario de envío de dinero,نموذج إرسال الأموال
Receiver Email,Receiver Email,Correo electrónico del destinatario,البريد الإلكتروني المتلقي
Proceed,Proceed,Proceder,يتابع
Sending Amount,Sending Amount,Monto de envío,إرسال المبلغ
Recipient,Recipient,Beneficiario,متلقي
Send Money Log,Send Money Log,Enviar registro de dinero,إرسال سجل الأموال
Send Money to,Send Money to,enviar dinero a,إرسال الأموال إلى
"Withdraw service is temporary unavailable. If you have any queries, feel free to contact support. Thanks","Withdraw service is temporary unavailable. If you have any queries, feel free to contact support. Thanks","El servicio de retiro no está disponible temporalmente. Si tiene alguna consulta, no dude en ponerse en contacto con el soporte. Gracias",خدمة السحب غير متاحة مؤقتا. إذا كان لديك أي استفسارات، فلا تتردد في الاتصال بالدعم. شكرًا
Money Out Form,Money Out Form,Formulario de retiro de dinero,نموذج صرف الأموال
Balance Type,Balance Type,Tipo de saldo,نوع الرصيد
Wallet Balance,Wallet Balance,Saldo de billetera,رصيد المحفظة
Payment Gateway,Payment Gateway,Pasarela de pago,بوابة الدفع
Withdraw Amount,Withdraw Amount,Retirar cantidad,سحب المبلغ
Money Out Log,Money Out Log,Registro de salida de dinero,سجل خروج الأموال
Money Out via,Money Out via,Salida de dinero a través de,صرف الأموال عبر
Withdraw instructions,Withdraw instructions,Retirar instrucciones,تعليمات السحب
Overview,Overview,Descripción general,ملخص
Total Transaction,Total Transaction,Transacción total,إجمالي المعاملة
Transaction Log,Transaction Log,Registro de transacciones,سجل المعاملات
Contact,Contact,Contacto,اتصال
Web Journal,Web Journal,Diario Web,مجلة الويب
Services,Services,Servicios,خدمات
About,About,Acerca de,عن
Read More,Read More,Leer más,اقرأ المزيد
Country,Country,País,دولة
State,State,Estado,ولاية
City,City,Ciudad,مدينة
Order,Order,Orden,طلب
Enter Password,Enter Password,Ingrese la contraseña,أدخل كلمة المرور
Enter Referral Id,Enter Referral Id,Ingrese la identificación de referencia,أدخل معرف الإحالة
Don't Have An Account,Don't Have An Account,No tengo una cuenta,ليس لديك حساب
GoldInvest,GoldInvest,Inversión de oro,استثمار الذهب
Invest And Safe Your Money,Invest And Safe Your Money,Invierte y protege tu dinero,استثمر وأمن أموالك
User Login,User Login,Inicio de sesión de usuario,تسجيل دخول المستخدم
Journal Details,Journal Details,Detalles de la revista,تفاصيل المجلة
Mail Authorization,Mail Authorization,Autorización de correo,ترخيص البريد
Verify User,Verify User,Verificar usuario,التحقق من المستخدم
Mail From Address,Mail From Address,Correo desde la dirección,البريد من العنوان
Explain Reject Reason,Explain Reject Reason,Explicar el motivo del rechazo,اشرح سبب الرفض
Select Timezone,Select Timezone,Seleccionar zona horaria,حدد المنطقة الزمنية
Field Name,Field Name,Nombre del campo,اسم الحقل
Max File Size (mb),Max File Size (mb),Tamaño máximo de archivo (mb),الحد الأقصى لحجم الملف (ميجابايت)
File Extension,File Extension,Extensión de archivo,امتداد الملف
Options,Options,Opciones,خيارات
Min Character,Min Character,Carácter mínimo,حرف مين
Max Character,Max Character,Carácter máximo,شخصية ماكس
Field Necessity,Field Necessity,Necesidad de campo,ضرورة المجال
Cluster,Cluster,Grupo,تَجَمَّع
Body,Body,Cuerpo,جسم
Notification Body,Notification Body,Organismo de notificación,هيئة الإخطار
APP ID,APP ID,ID DE APLICACIÓN,معرف التطبيق
Primary Key,Primary Key,Clave primaria,المفتاح الأساسي
Secret Key,Secret Key,clave secreta,المفتاح السري
Password Reset Link sended to your email address.,Password Reset Link sended to your email address.,Enlace de restablecimiento de contraseña enviado a su dirección de correo electrónico.,تم إرسال رابط إعادة تعيين كلمة المرور إلى عنوان بريدك الإلكتروني.
Successfully updated password. Please login,Successfully updated password. Please login,Contraseña actualizada correctamente. Por favor inicia sesión,تم تحديث كلمة المرور بنجاح. الرجاء تسجيل الدخول
Add Money request approved successfully,Add Money request approved successfully,Solicitud de Agregar dinero aprobada exitosamente,تمت الموافقة على طلب إضافة الأموال بنجاح
Add Money request rejected successfully,Add Money request rejected successfully,Solicitud de Agregar dinero rechazada exitosamente,تم رفض طلب إضافة الأموال بنجاح
Email send successfully!,Email send successfully!,¡Envío de correo electrónico exitoso!,إرسال البريد الإلكتروني بنجاح!
Oops! Failed to upload image.,Oops! Failed to upload image.,¡Ups! No se pudo cargar la imagen.,أُووبس! فشل تحميل الصورة.
Role assign failed!,Role assign failed!,¡Error en la asignación de roles!,فشل تعيين الدور!
New admin created successfully!,New admin created successfully!,¡Nuevo administrador creado exitosamente!,تم إنشاء المشرف الجديد بنجاح!
Oops! Target admin not found!,Oops! Target admin not found!,¡Ups! ¡Administrador objetivo no encontrado!,أُووبس! لم يتم العثور على المشرف المستهدف!
Can,Can,Poder,يستطيع
). AdminRoleConst::SUPER_ADMIN . __(,). AdminRoleConst::SUPER_ADMIN . __(,). AdminRoleConst::SUPER_ADMIN . __(,). AdminRoleConst::SUPER_ADMIN . __(
Failed to assign role.,Failed to assign role.,No se pudo asignar el rol.,فشل في تعيين الدور.
Admin information updated successfully!,Admin information updated successfully!,¡La información del administrador se actualizó exitosamente!,تم تحديث معلومات المشرف بنجاح!
Admin not found!,Admin not found!,Administrador no encontrado!,لم يتم العثور على المشرف!
Something went wrong!. Please try again.,Something went wrong!. Please try again.,¡Algo salió mal!. Por favor inténtalo de nuevo.,حدث خطأ ما!. يرجى المحاولة مرة أخرى.
Admin status updated successfully!,Admin status updated successfully!,¡El estado del administrador se actualizó exitosamente!,تم تحديث حالة المشرف بنجاح!
Admin role created successfully!,Admin role created successfully!,¡El rol de administrador se creó exitosamente!,تم إنشاء دور المشرف بنجاح!
Oops! Target not found!,Oops! Target not found!,¡Ups! ¡Objetivo no encontrado!,أُووبس! لم يتم العثور على الهدف!
Target role not found!,Target role not found!,¡Rol objetivo no encontrado!,لم يتم العثور على الدور المستهدف!
Admin role deleted successfully!,Admin role deleted successfully!,¡El rol de administrador se eliminó correctamente!,تم حذف دور المشرف بنجاح!
Permission created successfully!,Permission created successfully!,¡Permiso creado exitosamente!,تم إنشاء الإذن بنجاح!
Target not found!,Target not found!,¡Objetivo no encontrado!,لم يتم العثور على الهدف!
Permission not found!,Permission not found!,¡Permiso no encontrado!,لم يتم العثور على إذن!
Permission updated successfully!,Permission updated successfully!,¡Permiso actualizado exitosamente!,تم تحديث الإذن بنجاح!
Permission deleted successfully!,Permission deleted successfully!,¡Permiso eliminado exitosamente!,تم حذف الإذن بنجاح!
Role permission not found!,Role permission not found!,¡Permiso de rol no encontrado!,لم يتم العثور على إذن الدور!
Permission assign successfully!,Permission assign successfully!,¡El permiso se asignó correctamente!,تم تعيين الإذن بنجاح!
Admin deleted successfully!,Admin deleted successfully!,¡El administrador se eliminó exitosamente!,تم حذف المشرف بنجاح!
Onboard Screen Added Successfully!,Onboard Screen Added Successfully!,¡Pantalla integrada agregada con éxito!,تمت إضافة الشاشة على متن الطائرة بنجاح!
Onboard screen not found!,Onboard screen not found!,¡No se encontró la pantalla integrada!,لم يتم العثور على الشاشة على متن الطائرة!
Onboard screen status updated successfully!.,Onboard screen status updated successfully!.,¡El estado de la pantalla a bordo se actualizó exitosamente!.,تم تحديث حالة الشاشة على متن الطائرة بنجاح!.
Onboard screen information updated successfully!,Onboard screen information updated successfully!,¡La información de la pantalla a bordo se actualizó exitosamente!,تم تحديث معلومات الشاشة الموجودة على اللوحة بنجاح!
Screen deleted successfully!,Screen deleted successfully!,¡Pantalla eliminada exitosamente!,تم حذف الشاشة بنجاح!
Splash screen updated successfully!,Splash screen updated successfully!,¡La pantalla de bienvenida se actualizó correctamente!,تم تحديث شاشة البداية بنجاح!
URL settings updated successfully!,URL settings updated successfully!,¡La configuración de URL se actualizó correctamente!,تم تحديث إعدادات URL بنجاح!
Broadcast configuration updated successfully!,Broadcast configuration updated successfully!,¡La configuración de transmisión se actualizó exitosamente!,تم تحديث تكوين البث بنجاح!
Something went wrong! Please try again,Something went wrong! Please try again,¡Algo salió mal! Por favor inténtalo de nuevo,حدث خطأ ما! يرجى المحاولة مرة أخرى
Reply sended successfully!,Reply sended successfully!,¡Respuesta enviada exitosamente!,تم إرسال الرد بنجاح!
Wallet generated successfully!,Wallet generated successfully!,¡Monedero generado exitosamente!,تم إنشاء المحفظة بنجاح!
Balance Updated Successfully!,Balance Updated Successfully!,¡Saldo actualizado exitosamente!,تم تحديث الرصيد بنجاح!
Wallet Added Successfully!,Wallet Added Successfully!,¡Billetera agregada exitosamente!,تمت إضافة المحفظة بنجاح!
Wallet Address Deleted Successfully!,Wallet Address Deleted Successfully!,¡Dirección de billetera eliminada exitosamente!,تم حذف عنوان المحفظة بنجاح!
Wallet Status Changed Successfully!,Wallet Status Changed Successfully!,¡El estado de la billetera cambió exitosamente!,تم تغيير حالة المحفظة بنجاح!
Crypto Asset Not Found!,Crypto Asset Not Found!,¡Criptoactivo no encontrado!,لم يتم العثور على الأصول المشفرة!
Crypto Address Not Found!,Crypto Address Not Found!,¡Dirección criptográfica no encontrada!,لم يتم العثور على عنوان التشفير!
Currency Saved Successfully!,Currency Saved Successfully!,¡Moneda guardada con éxito!,تم حفظ العملة بنجاح!
Currency record not found in our system.,Currency record not found in our system.,Registro de moneda no encontrado en nuestro sistema.,سجل العملة غير موجود في نظامنا.
Currency status updated successfully!,Currency status updated successfully!,¡El estado de la moneda se actualizó exitosamente!,تم تحديث حالة العملة بنجاح!
Currency not found!,Currency not found!,¡Moneda no encontrada!,لم يتم العثور على العملة!
Image file upload failed!,Image file upload failed!,¡Error al cargar el archivo de imagen!,فشل تحميل ملف الصورة!
Successfully updated the information.,Successfully updated the information.,Se actualizó exitosamente la información.,تم تحديث المعلومات بنجاح.
Currency deleted successfully!,Currency deleted successfully!,¡Moneda eliminada exitosamente!,تم حذف العملة بنجاح!
Notifications clear successfully!,Notifications clear successfully!,¡Las notificaciones se borran correctamente!,تم مسح الإخطارات بنجاح!
Extension has been updated successfully,Extension has been updated successfully,La extensión se ha actualizado correctamente.,تم تحديث الامتداد بنجاح
Extension is not found!.,Extension is not found!.,¡No se encuentra la extensión!.,لم يتم العثور على التمديد!.
Extension status is updated successfully!,Extension status is updated successfully!,¡El estado de la extensión se actualizó correctamente!,تم تحديث حالة الامتداد بنجاح!
admin.gold.stock.index,admin.gold.stock.index,admin.gold.stock.index,admin.gold.stock.index
Gold created successfully!,Gold created successfully!,¡Oro creado con éxito!,تم إنشاء الذهب بنجاح!
Gold status updated successfully!,Gold status updated successfully!,¡El estado Gold se actualizó exitosamente!,تم تحديث الحالة الذهبية بنجاح!
Gold deleted successfully!,Gold deleted successfully!,¡El oro se eliminó exitosamente!,تم حذف الذهب بنجاح!
Gold updated successfully!,Gold updated successfully!,¡Oro actualizado exitosamente!,تم تحديث الذهب بنجاح!
Plan name is similar. Please update/change this name,Plan name is similar. Please update/change this name,El nombre del plan es similar. Por favor actualice/cambie este nombre,اسم الخطة مشابه. يرجى تحديث/تغيير هذا الاسم
Plan created successfully!,Plan created successfully!,¡Plan creado exitosamente!,تم إنشاء الخطة بنجاح!
Plan status updated successfully!,Plan status updated successfully!,¡El estado del plan se actualizó exitosamente!,تم تحديث حالة الخطة بنجاح!
Plan deleted successfully!,Plan deleted successfully!,¡Plan eliminado exitosamente!,تم حذف الخطة بنجاح!
Plan updated successfully!,Plan updated successfully!,¡Plan actualizado exitosamente!,تم تحديث الخطة بنجاح!
Language created successfully!,Language created successfully!,¡Idioma creado exitosamente!,تم إنشاء اللغة بنجاح!
Language updated successfully!,Language updated successfully!,¡Idioma actualizado exitosamente!,تم تحديث اللغة بنجاح!
Language (,Language (,Idioma (,لغة (
) is not removable.,) is not removable.,) no es removible.,) غير قابل للإزالة.
File remove failed!,File remove failed!,¡Error al eliminar el archivo!,فشل إزالة الملف!
Language deleted successfully!,Language deleted successfully!,¡Idioma eliminado exitosamente!,تم حذف اللغة بنجاح!
Please deselect your default language first.,Please deselect your default language first.,Primero deseleccione su idioma predeterminado.,الرجاء إلغاء تحديد لغتك الافتراضية أولاً.
Language status updated successfully!,Language status updated successfully!,¡El estado del idioma se actualizó exitosamente!,تم تحديث حالة اللغة بنجاح!
Sorry! Language not found!,Sorry! Language not found!,¡Lo siento! ¡Idioma no encontrado!,آسف! لم يتم العثور على اللغة!
Failed to store new file.,Failed to store new file.,No se pudo almacenar el nuevo archivo.,فشل في تخزين الملف الجديد.
Language switch successfully!,Language switch successfully!,¡Cambio de idioma exitoso!,تبديل اللغة بنجاح!
File does not exists.,File does not exists.,El archivo no existe.,الملف غير موجود.
Transaction not found!,Transaction not found!,¡Transacción no encontrada!,لم يتم العثور على المعاملة!
This transaction is already approved,This transaction is already approved,Esta transacción ya está aprobada,تمت الموافقة على هذه الصفقة بالفعل
Action Denied!,Action Denied!,¡Acción denegada!,تم رفض الإجراء!
Transaction successfully approved!,Transaction successfully approved!,¡Transacción aprobada exitosamente!,تمت الموافقة على المعاملة بنجاح!
This transaction is already rejected,This transaction is already rejected,Esta transacción ya fue rechazada.,تم رفض هذه المعاملة بالفعل
Transaction rejected successfully!,Transaction rejected successfully!,¡Transacción rechazada exitosamente!,تم رفض المعاملة بنجاح!
Settings updated successfully!,Settings updated successfully!,¡La configuración se actualizó correctamente!,تم تحديث الإعدادات بنجاح!
Order Status updated successfully!,Order Status updated successfully!,¡Estado del pedido actualizado exitosamente!,تم تحديث حالة الطلب بنجاح!
Payment gateway currency not found!,Payment gateway currency not found!,¡No se encontró la moneda de la pasarela de pago!,لم يتم العثور على عملة بوابة الدفع!
Payment gateway currency deleted successfully!,Payment gateway currency deleted successfully!,¡La moneda de la pasarela de pago se eliminó correctamente!,تم حذف عملة بوابة الدفع بنجاح!
Payment gateway added successfully!,Payment gateway added successfully!,¡Pasarela de pago agregada exitosamente!,تمت إضافة بوابة الدفع بنجاح!
Payment gateway not found!.,Payment gateway not found!.,¡Pasarela de pago no encontrada!.,بوابة الدفع غير موجودة!.
Payment gateway status updated successfully!,Payment gateway status updated successfully!,¡El estado de la pasarela de pago se actualizó correctamente!,تم تحديث حالة بوابة الدفع بنجاح!
Image upload failed! Please try again.,Image upload failed! Please try again.,¡La carga de la imagen falló! Por favor inténtalo de nuevo.,فشل تحميل الصورة! يرجى المحاولة مرة أخرى.
Oops! Payment gateway not found!,Oops! Payment gateway not found!,¡Ups! ¡Pasarela de pago no encontrada!,أُووبس! بوابة الدفع غير موجودة!
Payment gateway updated successfully!,Payment gateway updated successfully!,¡Pasarela de pago actualizada con éxito!,تم تحديث بوابة الدفع بنجاح!
Payment gateway deleted successfully!,Payment gateway deleted successfully!,¡Pasarela de pago eliminada con éxito!,تم حذف بوابة الدفع بنجاح!
Profile Information Updated Successfully!,Profile Information Updated Successfully!,¡Información de perfil actualizada con éxito!,تم تحديث معلومات الملف الشخصي بنجاح!
Oops! Basic settings not found!,Oops! Basic settings not found!,¡Ups! ¡No se encontraron configuraciones básicas!,أُووبس! لم يتم العثور على الإعدادات الأساسية!
Sorry! You have to configure first to send push notification.,Sorry! You have to configure first to send push notification.,¡Lo siento! Primero debe configurar para enviar notificaciones automáticas.,آسف! يجب عليك التهيئة أولاً لإرسال إشعار الدفع.
Please configure your push notification with valid credentials.,Please configure your push notification with valid credentials.,Configure su notificación push con credenciales válidas.,يرجى تكوين إشعار الدفع الخاص بك ببيانات اعتماد صالحة.
Oops! Failed to store information.,Oops! Failed to store information.,¡Ups! No se pudo almacenar la información.,أُووبس! فشل في تخزين المعلومات.
Notification sended successfully!,Notification sended successfully!,¡Notificación enviada exitosamente!,تم إرسال الإخطار بنجاح!
Oops! Basic setting not found!,Oops! Basic setting not found!,¡Ups! ¡Configuración básica no encontrada!,أُووبس! لم يتم العثور على الإعداد الأساسي!
Push notification configuration updated successfully!,Push notification configuration updated successfully!,¡La configuración de notificaciones push se actualizó correctamente!,تم تحديث تكوين إشعار الدفع بنجاح!
New Package Created Successfully!,New Package Created Successfully!,¡Nuevo paquete creado con éxito!,تم إنشاء الحزمة الجديدة بنجاح!
Information Updated Successfully!,Information Updated Successfully!,¡Información actualizada con éxito!,تم تحديث المعلومات بنجاح!
Basic settings not found!,Basic settings not found!,¡No se encontraron configuraciones básicas!,لم يتم العثور على الإعدادات الأساسية!
Invalid KYC or KYC not found!,Invalid KYC or KYC not found!,¡KYC no válido o KYC no encontrado!,لم يتم العثور على KYC غير صالح أو KYC!
KYC status updated successfully!,KYC status updated successfully!,¡El estado KYC se actualizó exitosamente!,تم تحديث حالة KYC بنجاح!
Page not found!,Page not found!,¡Página no encontrada!,لم يتم العثور على الصفحة!
Setup Page status updated successfully!,Setup Page status updated successfully!,¡El estado de la página de configuración se actualizó exitosamente!,تم تحديث حالة صفحة الإعداد بنجاح!
Section updated successfully!,Section updated successfully!,¡Sección actualizada exitosamente!,تم تحديث القسم بنجاح!
Section item added successfully!,Section item added successfully!,¡El artículo de la sección se agregó correctamente!,تمت إضافة عنصر القسم بنجاح!
Section not found!,Section not found!,¡Sección no encontrada!,لم يتم العثور على القسم!
Section item not found!,Section item not found!,¡Artículo de sección no encontrado!,لم يتم العثور على عنصر القسم!
Section item is invalid!,Section item is invalid!,¡El elemento de la sección no es válido!,عنصر القسم غير صالح!
Section item delete successfully!,Section item delete successfully!,¡El elemento de la sección se eliminó correctamente!,تم حذف عنصر القسم بنجاح!
Section item deleted successfully!,Section item deleted successfully!,¡El elemento de la sección se eliminó correctamente!,تم حذف عنصر القسم بنجاح!
Mail send failed! Please try again,Mail send failed! Please try again,¡Falló el envío de correo! Por favor inténtalo de nuevo,فشل إرسال البريد! يرجى المحاولة مرة أخرى
Mail successfully sended,Mail successfully sended,Correo enviado exitosamente,تم إرسال البريد بنجاح
This support ticket is closed.,This support ticket is closed.,Este ticket de soporte está cerrado.,تم إغلاق تذكرة الدعم هذه.
SMS Sending failed! Please try again.,SMS Sending failed! Please try again.,¡Error al enviar SMS! Por favor inténtalo de nuevo.,فشل إرسال الرسائل القصيرة! يرجى المحاولة مرة أخرى.
Failed to change status to active!,Failed to change status to active!,¡No se pudo cambiar el estado a activo!,فشل تغيير الحالة إلى نشطة!
This ticket is already solved!,This ticket is already solved!,¡Este ticket ya está solucionado!,تم حل هذه التذكرة بالفعل!
Transaction charge not found!,Transaction charge not found!,¡Cargo de transacción no encontrado!,لم يتم العثور على رسوم المعاملة!
Charge Updated Successfully!,Charge Updated Successfully!,¡Carga actualizada exitosamente!,تم تحديث الشحن بنجاح!
Useful link added successfully!,Useful link added successfully!,¡Enlace útil agregado exitosamente!,تمت إضافة الرابط المفيد بنجاح!
Link not found!,Link not found!,Enlace no encontrado!,لم يتم العثور على الرابط!
Useful link updated successfully!,Useful link updated successfully!,¡Enlace útil actualizado exitosamente!,تم تحديث الرابط المفيد بنجاح!
Useful link deleted successfully!,Useful link deleted successfully!,¡Enlace útil eliminado exitosamente!,تم حذف الرابط المفيد بنجاح!
Useful link status updated successfully!,Useful link status updated successfully!,¡El estado del enlace útil se actualizó exitosamente!,تم تحديث حالة الرابط المفيد بنجاح!
Oops! User does not exists,Oops! User does not exists,¡Ups! El usuario no existe,أُووبس! المستخدم غير موجود
Email successfully sended,Email successfully sended,Correo electrónico enviado correctamente,تم إرسال البريد الإلكتروني بنجاح
User already KYC verified,User already KYC verified,Usuario ya verificado KYC,تم بالفعل التحقق من المستخدم
User KYC information not found,User KYC information not found,Información KYC del usuario no encontrada,لم يتم العثور على معلومات KYC الخاصة بالمستخدم
User KYC successfully approved,User KYC successfully approved,Usuario KYC aprobado exitosamente,تمت الموافقة على KYC للمستخدم بنجاح
User KYC information is rejected,User KYC information is rejected,La información KYC del usuario es rechazada,تم رفض معلومات KYC الخاصة بالمستخدم
User wallet not found!,User wallet not found!,¡No se encontró la billetera del usuario!,لم يتم العثور على محفظة المستخدم!
User do not have sufficient balance,User do not have sufficient balance,El usuario no tiene saldo suficiente,المستخدم ليس لديه رصيد كافي
Transaction failed!,Transaction failed!,¡La transacción falló!,فشلت الصفقة!
Transaction success,Transaction success,Éxito de la transacción,نجاح الصفقة
Basic settings updated successfully!,Basic settings updated successfully!,¡La configuración básica se actualizó correctamente!,تم تحديث الإعدادات الأساسية بنجاح!
You have to configure your system mail first.,You have to configure your system mail first.,Primero debe configurar el correo de su sistema.,يجب عليك تكوين بريد النظام الخاص بك أولاً.
Please setup KYC field first. Go to [Setup KYC] page from sidebar,Please setup KYC field first. Go to [Setup KYC] page from sidebar,Primero configure el campo KYC. Vaya a la página [Configurar KYC] desde la barra lateral,يرجى إعداد حقل KYC أولاً. انتقل إلى صفحة [Setup KYC] من الشريط الجانبي
Basic settings status updated successfully!,Basic settings status updated successfully!,¡El estado de la configuración básica se actualizó correctamente!,تم تحديث حالة الإعدادات الأساسية بنجاح!
Basic setting not found! Please run database seeder,Basic setting not found! Please run database seeder,¡Configuración básica no encontrada! Ejecute el sembrador de base de datos.,لم يتم العثور على الإعداد الأساسي! الرجاء تشغيل بذارة قاعدة البيانات
No changes to update.,No changes to update.,No hay cambios para actualizar.,لا توجد تغييرات للتحديث.
Image assets updated successfully!.,Image assets updated successfully!.,Recursos de imagen actualizados exitosamente.,تم تحديث أصول الصورة بنجاح!.
SEO information updated successfully!,SEO information updated successfully!,¡Información SEO actualizada con éxito!,تم تحديث معلومات تحسين محركات البحث (SEO) بنجاح!
You can resend verification code after,You can resend verification code after,Puedes reenviar el código de verificación después,يمكنك إعادة إرسال رمز التحقق بعد ذلك
User KYC input fields fetch successfully!,User KYC input fields fetch successfully!,¡Los campos de entrada KYC del usuario se recuperaron correctamente!,تم جلب حقول إدخال KYC للمستخدم بنجاح!
Google 2FA Updated Successfully!,Google 2FA Updated Successfully!,¡Google 2FA se actualizó con éxito!,تم تحديث Google 2FA بنجاح!
User Registration is currently disabled from admin,User Registration is currently disabled from admin,El registro de usuario está actualmente deshabilitado desde el administrador.,تسجيل المستخدم معطل حاليا من المشرف
Gpay bank list server response failed! Please try again,Gpay bank list server response failed! Please try again,¡La respuesta del servidor de la lista de bancos de Gpay falló! Por favor inténtalo de nuevo,فشلت استجابة خادم قائمة بنك Gpay! يرجى المحاولة مرة أخرى
Transaction hash is required for verify,Transaction hash is required for verify,Se requiere hash de transacción para verificar,تجزئة المعاملة مطلوبة للتحقق
Transaction hash is not valid! Please input a valid hash,Transaction hash is not valid! Please input a valid hash,¡El hash de transacción no es válido! Por favor ingresa un hash válido,تجزئة المعاملة غير صالحة! الرجاء إدخال تجزئة صالحة
Insufficient amount added. Please contact with system administrator,Insufficient amount added. Please contact with system administrator,Cantidad insuficiente agregada. Por favor contacte con el administrador del sistema,تمت إضافة كمية غير كافية. يرجى الاتصال بمسؤول النظام
Payment Confirmation Success!,Payment Confirmation Success!,¡Confirmación de pago exitosa!,نجاح تأكيد الدفع!
User Notification data fetched successfully!,User Notification data fetched successfully!,¡Los datos de notificación del usuario se obtuvieron correctamente!,تم جلب بيانات إشعار المستخدم بنجاح!
User Plan data fetched successfully!,User Plan data fetched successfully!,¡Los datos del plan de usuario se obtuvieron correctamente!,تم جلب بيانات خطة المستخدم بنجاح!
Oops! Wallet not found!,Oops! Wallet not found!,¡Ups! ¡Cartera no encontrada!,أُووبس! لم يتم العثور على المحفظة!
Your wallet balance is insufficient,Your wallet balance is insufficient,El saldo de tu billetera es insuficiente,رصيد محفظتك غير كافي
Oops! Something went wrong! Please try again,Oops! Something went wrong! Please try again,¡Ups! ¡Algo salió mal! Por favor inténtalo de nuevo,أُووبس! حدث خطأ ما! يرجى المحاولة مرة أخرى
New Investment Plan Purchase Successfully!,New Investment Plan Purchase Successfully!,¡Compra del nuevo plan de inversión con éxito!,تم شراء الخطة الاستثمارية الجديدة بنجاح!
User Invest data fetched successfully!,User Invest data fetched successfully!,¡Los datos de User Invest se obtuvieron con éxito!,تم جلب بيانات استثمار المستخدم بنجاح!
User wallets fetch successfully!,User wallets fetch successfully!,¡Las carteras de los usuarios se recuperan correctamente!,تم جلب محافظ المستخدم بنجاح!
Please follow the transaction limit. (Min,Please follow the transaction limit. (Min,Siga el límite de transacciones. (Mín.,يرجى اتباع حد المعاملة. (الحد الأدنى
- Max,- Max,- Máximo,- الأعلى
Receiver wallet not available,Receiver wallet not available,Cartera receptora no disponible,محفظة المتلقي غير متوفرة
Transaction failed! Something went wrong! Please try again,Transaction failed! Something went wrong! Please try again,¡La transacción falló! ¡Algo salió mal! Por favor inténtalo de nuevo,فشلت الصفقة! حدث خطأ ما! يرجى المحاولة مرة أخرى
Successfully money transfer to @,Successfully money transfer to @,Transferencia de dinero exitosa a @,تم تحويل الأموال بنجاح إلى @
Request data fetch successfully!,Request data fetch successfully!,¡Solicite la recuperación de datos exitosamente!,طلب جلب البيانات بنجاح!
Payment gateway not found!,Payment gateway not found!,¡Pasarela de pago no encontrada!,بوابة الدفع غير موجودة!
Payment gateway is under maintenance. Please try with another gateway,Payment gateway is under maintenance. Please try with another gateway,La pasarela de pago se encuentra en mantenimiento. Por favor intenta con otra puerta de enlace,بوابة الدفع تحت الصيانة. يرجى المحاولة مع بوابة أخرى
Payment gateway input field fetch successfully!,Payment gateway input field fetch successfully!,¡El campo de entrada de la pasarela de pago se obtuvo correctamente!,تم جلب حقل إدخال بوابة الدفع بنجاح!
Service not available!,Service not available!,¡Servicio no disponible!,الخدمة غير متوفرة!
Your Profit balance is insufficient,Your Profit balance is insufficient,Su saldo de ganancias es insuficiente,رصيد الربح الخاص بك غير كاف
Oops! Wallet type not defined,Oops! Wallet type not defined,¡Ups! Tipo de billetera no definido,أُووبس! لم يتم تحديد نوع المحفظة
Transaction success! Please wait for confirmation,Transaction success! Please wait for confirmation,¡Éxito de la transacción! Por favor espere la confirmación,نجاح الصفقة! يرجى الانتظار للتأكيد
User Gold data fetched successfully!,User Gold data fetched successfully!,¡Los datos del usuario Gold se obtuvieron correctamente!,تم جلب بيانات المستخدم الذهبية بنجاح!
Your order is successful!,Your order is successful!,¡Tu pedido ha sido exitoso!,طلبك ناجح!
User Order data fetched successfully!,User Order data fetched successfully!,¡Los datos del pedido del usuario se obtuvieron correctamente!,تم جلب بيانات طلب المستخدم بنجاح!
Category added successfully!,Category added successfully!,¡Categoría agregada exitosamente!,تمت إضافة الفئة بنجاح!
Category updated successfully!,Category updated successfully!,¡Categoría actualizada exitosamente!,تم تحديث الفئة بنجاح!
Category status updated successfully!,Category status updated successfully!,¡El estado de la categoría se actualizó exitosamente!,تم تحديث حالة الفئة بنجاح!
Category deleted successfully!,Category deleted successfully!,¡Categoría eliminada exitosamente!,تم حذف الفئة بنجاح!
Announcement title is similar. Please update/change this title,Announcement title is similar. Please update/change this title,El título del anuncio es similar. Por favor actualice/cambie este título,عنوان الإعلان مشابه. يرجى تحديث/تغيير هذا العنوان
admin.setup.sections.announcement.index,admin.setup.sections.announcement.index,admin.setup.secciones.anuncio.index,admin.setup.sections.announcement.index
Announcement created successfully!,Announcement created successfully!,¡Anuncio creado exitosamente!,تم إنشاء الإعلان بنجاح!
Announcement status updated successfully!,Announcement status updated successfully!,¡El estado del anuncio se actualizó exitosamente!,تم تحديث حالة الإعلان بنجاح!
Announcement deleted successfully!,Announcement deleted successfully!,¡Anuncio eliminado exitosamente!,تم حذف الإعلان بنجاح!
Announcement updated successfully!,Announcement updated successfully!,¡Anuncio actualizado exitosamente!,تم تحديث الإعلان بنجاح!
Oops! Language Not Found!,Oops! Language Not Found!,¡Ups! ¡Idioma no encontrado!,أُووبس! اللغة غير موجودة!
Language Switch to,Language Switch to,Idioma Cambiar a,تبديل اللغة إلى
